name,description,address1,address2,address3,city,county,postcode,country,animal,pet_name,renewal_date,date,outward_code,Type of Property,Current Manager,Status
Mounatian Edge Resort Mega pod 6,"Boasting a hot tub, Mounatian Edge Resort Mega pod 6 is located in Church Stretton.",Mountain Edge,,,Church Stretton,Shropshire,SY6 6QE,UK,,,,,SY6,Holiday home,Managed by Mountain Edge Resort,Entire home
Shire Cottage,"Located in Shrewsbury in the Shropshire region, Shire Cottage provides accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 8PW,UK,,,,,SY5,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Willow View,"Willow View is located in Shrewsbury, 27 km from Telford International Centre, 1.3 km from Shrewsbury Cathedral, as well as 8.9 km from Attingham Park.",Shrewsbury,,,Shrewsbury,Shropshire,SY3 8RG,UK,,,,,SY3,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Entire ground floor town flat - Fully equipped and stunning.,"Located in Shrewsbury, 28 km from Ironbridge Gorge, Entire ground floor town flat - Fully equipped and stunning.",1 Breidden View,,,Shrewsbury,Shropshire,SY3 8NN,UK,,,,,SY3,Apartment,Hosted by Steve,Entire apartment
Pass the Keys Stylish newly renovated Victorian 2 bedroom house,"Providing a garden, a terrace and free WiFi, Pass the Keys Stylish newly renovated Victorian 2 bedroom house is a recently renovated holiday home 26 km...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2JZ,UK,,,,,SY1,Holiday home,Managed by Katie,Entire home
Pass the Keys 2 Bedroom Apartment with Parking,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Pass the Keys 2 Bedroom Apartment with Parking provides accommodation...",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6FR,UK,,,,,SY2,Apartment,,Entire apartment
3 Bed in Whitchurch 88915,"Offering a garden and garden view, 3 Bed in Whitchurch 88915 is located in Whixall, 43 km from Trentham Gardens and 44 km from Chester Racecourse.","Coton Park Farm Barn
Coton",,,Whixall,,SY13 2RD,UK,,,,,SY13,Holiday home,Managed by holidaycottages-co-uk,Entire home
mega pod 5,"Situated in Church Stretton, 32 km from Ironbridge Gorge and 47 km from Telford International Centre, mega pod 5 provides a restaurant.",Mountain Edge,,,Church Stretton,Shropshire,SY6 6QE,UK,,,,,SY6,Holiday home,Managed by Mountain Edge Resort,Entire home
Abel's Harp,"In an Area of Outstanding Natural Beauty, Abel’s Harp in the Shropshire Hills, close to the Welsh/English border.",Abel's Harp,Bromlow,,Bromlow,Shropshire,SY5 0EA,UK,,,,,SY5,Inn,,
Pass the Keys Unique charming and peaceful countryside lodge,"Set in Shrewsbury in the Shropshire region, Pass the Keys Unique charming and peaceful countryside lodge offers accommodation with free WiFi and free...",Shrewsbury,,,Shrewsbury,Shropshire,SY4 4EE,UK,,,,,SY4,Holiday home,Managed by Stef and Rob,Entire home
