name,description,address1,address2,address3,city,county,postcode,country,animal,pet_name,renewal_date,date,outward_code,Type of Property,Current Manager,Status
Mounatian Edge Resort Mega pod 6,"Boasting a hot tub, Mounatian Edge Resort Mega pod 6 is located in Church Stretton.",Mountain Edge,,,Church Stretton,Shropshire,SY6 6QE,UK,,,,,SY6,Holiday home,,Entire Home
Shire Cottage,"Located in Shrewsbury in the Shropshire region, Shire Cottage provides accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY5 8PW,UK,,,,,SY5,Holiday home,,Entire Home
Willow View,"Willow View is located in Shrewsbury, 27 km from Telford International Centre, 1.3 km from Shrewsbury Cathedral, as well as 8.9 km from Attingham Park.",Shrewsbury,,,Shrewsbury,Shropshire,SY3 8RG,UK,,,,,SY3,Holiday home,,Entire Home
Entire ground floor town flat - Fully equipped and stunning.,"Located in Shrewsbury, 28 km from Ironbridge Gorge, Entire ground floor town flat - Fully equipped and stunning.",1 Breidden View,,,Shrewsbury,Shropshire,SY3 8NN,UK,,,,,SY3,Apartment,Hosted by Steve,Entire Apartment
Pass the Keys Stylish newly renovated Victorian 2 bedroom house,"Providing a garden, a terrace and free WiFi, Pass the Keys Stylish newly renovated Victorian 2 bedroom house is a recently renovated holiday home 26 km...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2JZ,UK,,,,,SY1,Holiday home,,Entire Home
Pass the Keys 2 Bedroom Apartment with Parking,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Pass the Keys 2 Bedroom Apartment with Parking provides accommodation...",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6FR,UK,,,,,SY2,Apartment,,Entire Apartment
mega pod 5,"Situated in Church Stretton, 32 km from Ironbridge Gorge and 47 km from Telford International Centre, mega pod 5 provides a restaurant.",Mountain Edge,,,Church Stretton,Shropshire,SY6 6QE,UK,,,,,SY6,Holiday home,,Entire Home
Abel's Harp,"In an Area of Outstanding Natural Beauty, Abel’s Harp in the Shropshire Hills, close to the Welsh/English border.",Abel's Harp,Bromlow,,Bromlow,Shropshire,SY5 0EA,UK,,,,,SY5,Inn,,
Pass the Keys Unique charming and peaceful countryside lodge,"Set in Shrewsbury in the Shropshire region, Pass the Keys Unique charming and peaceful countryside lodge offers accommodation with free WiFi and free...",Shrewsbury,,,Shrewsbury,Shropshire,SY4 4EE,UK,,,,,SY4,Holiday home,,Entire Home
"Luxury townhouse in town centre, views, river walk","Boasting inner courtyard views, Luxury townhouse in town centre, views, river walk offers accommodation with a garden and a patio, around 26 km from...",1 Haughmond View,,,Shrewsbury,Shropshire,SY3 8RG,UK,,,,,SY3,Holiday home,Hosted by Helen,Entire Home
Pass the Keys 2 Bedroom Apartment with Parking,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Pass the Keys 2 Bedroom Apartment with Parking provides accommodation...",Shrewsbury,,,Shrewsbury,Shropshire,SY2 6FR,UK,,,,,SY2,Apartment,,Entire Apartment
Oak Lodge,"Boasting a sauna, Oak Lodge is set in Hadnall. The property is around 28 km from Ironbridge Gorge, 6.",Hadnall,,,Hadnall,Shropshire,SY4 4AA,UK,,,,,SY4,Holiday home,,Entire Home
Abbey View Shrewsbury,"Located in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Abbey View Shrewsbury provides accommodation with free WiFi and free...",9 Whitehall Street,,,Shrewsbury,Shropshire,SY2 5AD,UK,,,,,SY2,Holiday home,,Entire Home
Shrewsbury Townhouse,"Offering inner courtyard views, Shrewsbury Townhouse is an accommodation set in Shrewsbury, 27 km from Telford International Centre and 1.",2 Mount Street,,,Shrewsbury,Shropshire,SY3 8QP,UK,,,,,SY3,Holiday home,Hosted by Adrian,Entire Home
