name,description,address1,address2,address3,city,county,postcode,country,animal,pet_name,renewal_date,date,outward_code,Type of Property,Current Manager,Status
JW Marriott Grosvenor House London,"Standing on Park Lane in Mayfair, this excellently located landmark hotel is perfect for Hyde Park, Buckingham Palace, shopping on Oxford Street, and West...",86-90 Park Lane,,,London,Greater London,W1K 7TN,UK,,,,,W1K,Hotel,,
London Hilton on Park Lane,Stay at the London Hilton on Park Lane and enjoy stunning views of London from all guest rooms along with magnificent 360° city views from the...,22 Park Lane,,,London,Greater London,W1K 1BE,UK,,,,,W1K,Hotel,,
London Marriott Hotel Park Lane,"This 5-star hotel is situated in the centre of London's West End, on the corner of Oxford Street and Park Lane.",140 Park Lane,,,London,Greater London,W1K 7AA,UK,,,,,W1K,Hotel,,
Mayfair - Peterson House by Viridian Apartments,"Located in the centre of London, Mayfair - Peterson House by Viridian Apartments is a recently renovated accommodation, which provides soundproof rooms.",Gilbert Street,,,London,Greater London,W1K 5HX,UK,,,,,W1K,Apartment,Managed by Viridian Apartments,Apartments
"The Biltmore Mayfair, LXR Hotels & Resorts","Situated in the affluent area of London’s West End, The Biltmore Mayfair is steps away from the finest shopping, dining and royal parks.",44 Grosvenor Square,,,London,Greater London,W1K 2HP,UK,,,,,W1K,Hotel,,
London Marriott Hotel Grosvenor Square,This magnificent 5-star hotel offers luxurious air-conditioned rooms in London's West End.,Grosvenor Square,,,London,Greater London,W1K 6JP,UK,,,,,W1K,Hotel,,
Grosvenor House Suites,"Grosvenor House Suites offers 5-star accommodation in the heart of Mayfair, with a 24-hour concierge service, a daily maid service, and a 24-hour fitness...",86 Park Lane,,,London,Greater London,W1K 7TN,UK,,,,,W1K,Aparthotel,Managed by Grosvenor House Suites,Apartments
Stay in bond street,"In the Westminster Borough district of London, close to Piccadilly Circus, Stay in bond street features a terrace and a washing machine.",Brook's Mews,,,London,Greater London,W1K 4DT,UK,,,,,W1K,Apartment,Managed by Parklane apartments ltd,Apartments
Maddox House,"Offering free WiFi and city views, Maddox House is an accommodation set in the heart of London, just 700 metres from Piccadilly Theatre and 800 metres from...",30 Maddox Street 2 Mark House,,,London,Greater London,W1S 1PS,UK,,,,,W1S,Apartment,,Entire apartment
Mermaid Suite Hotel,"With its own restaurant, the Mermaid Suite Hotel is situated just off Oxford Street, in the heart of the fashionable West End.",3-4 Blenheim Street,,,London,Greater London,W1S 1LA,UK,,,,,W1S,Hotel,,
Oxford Street Apartments Hosted by Maysa London,"Situated in the centre of London, 400 metres from Oxford Street and 700 metres from Oxford Circus, Oxford Street Apartments Hosted by Maysa London offers...",395 Oxford Street 11 Gilbert Court,,,London,Greater London,W1C 2JY,UK,,,,,W1C,Apartment,Managed by Maysa apartments,Entire apartment
COMO Metropolitan London,"Welcome to COMO Metropolitan London, a light-filled Mayfair hotel, located in one of the best locations in Central London.",Old Park Lane,,,London,Greater London,W1K 1LB,UK,,,,,W1K,Hotel,,
Oxford Circus Apartments,Oxford Circus Apartments provides accommodation within 1.,4 Bourlet Close,,,London,Greater London,W1W 7BJ,UK,,,,,W1W,Apartment,Managed by Urban Stay Ltd.,Apartments
Beautiful Central London Apartment,"In the Westminster Borough district of London, close to Oxford Street, Beautiful Central London Apartment has free WiFi and a washing machine.",Great Titchfield Street,,,London,Greater London,W1W 7PR,UK,,,,,W1W,Apartment,,Entire apartment
Central London Apartment *,"Situated in the centre of London, Central London Apartment * is close to sights such as Oxford Circus, Oxford Street and Carnaby Street.",Great Titchfield Street,,,London,Greater London,W1W 7PR,UK,,,,,W1W,Apartment,,Entire apartment
"NEW Oxford Circus 2 Bedr, 3 Beds Best Location","Offering city views, NEW Oxford Circus 2 Bedr, 3 Beds Best Location is an accommodation situated in London, 500 metres from Oxford Street and 1 km from...",44 Mortimer Street,,,London,Greater London,W1W 7RJ,UK,,,,,W1W,Apartment,Managed by Steve,Entire apartment
Fantastic Top Floor 1 BR Loft Flat in Fitzrovia,"Fantastic Top Floor 1 BR Loft Flat in Fitzrovia is located in the Westminster Borough district of London, 600 metres from Oxford Street, 1.",Little Titchfield Street,,,London,Greater London,W1W 7BX,UK,,,,,W1W,Apartment,Managed by Margarita,Entire apartment
The Kings Arms Pub & Boutique Rooms,"Ideally situated in London, The Kings Arms Pub & Boutique Rooms features a buffet breakfast and free WiFi.",68 Great Titchfield Street Fitzrovia,,,London,Greater London,W1W 7QL,UK,,,,,W1W,Hotel,,
The Fitz Apartment - Modern 1BR APT,"The Fitz Apartment - Modern 1BR APT is situated in the Westminster Borough district of London, 600 metres from Oxford Street, 1.",London,,,London,Greater London,W1W 7PJ,UK,,,,,W1W,Apartment,"Managed by Frankie Says... STAY FLEXIBLE, STAY FABULOUS",Entire apartment
ARCORE Premium Apartments Oxford Street Area,"ARCORE Premium Apartments Oxford Street Area is located in the Westminster Borough district of London, 600 metres from Oxford Street, 1.",Great Titchfield Street,,,London,Greater London,W1W 7PQ,UK,,,,,W1W,Apartment,,Apartments
The Interlock Apartments - Oxford St,The Interlock Apartments - Oxford St provides accommodation within 1.,30-40 Riding House Street,,,London,Greater London,W1W 7EA,UK,,,,,W1W,Apartment,Managed by Hausd,Apartments
Foley Street Apartments,"Set in the centre of London, just 700 metres from Oxford Circus and 700 metres from Oxford Street, Foley Street Apartments offers accommodation with city...",Bourlet Close,,,London,Greater London,W1W 7BF,UK,,,,,W1W,Apartment,,Entire apartment
Magda London,"In a prime location in the Westminster Borough district of London, Magda London is located 600 metres from Oxford Street, 1.",76 Great Titchfield Street 76,,,London,Greater London,W1W 7QR,UK,,,,,W1W,Hotel,,
"Frankie Says- Cosy up in the Fitz and Flirty, a swish, modern 1 BR apartment in the heart of the West End","Offering free WiFi and quiet street views, Frankie Says- Cosy up in the Fitz and Flirty, a swish, modern 1 BR apartment in the heart of the West End is an...",London,,,London,Greater London,W1W 7TJ,UK,,,,,W1W,Apartment,"Managed by Frankie Says... STAY FLEXIBLE, STAY FABULOUS",Entire apartment
"Spacious West End Duplex Apartment, W1 Central London","Offering free WiFi and quiet street views, Spacious West End Duplex Apartment, W1 Central London is an accommodation set in a central area of London, just...",12 Middleton Place,,,London,Greater London,W1W 7TQ,UK,,,,,W1W,Apartment,,Entire apartment
"Frankie Says - Stylish, spacious and centrally located near Oxford Circus, say hello to the gorgeous Goodge Vibes Only 1 BR apartment","Set in London, near Oxford Street, Tottenham Court Road and Dominion Theatre, Frankie Says - Stylish, spacious and centrally located near Oxford Circus,...",London,,,London,Greater London,W1W 7TJ,UK,,,,,W1W,Apartment,"Managed by Frankie Says... STAY FLEXIBLE, STAY FABULOUS",Entire apartment
Courthouse Hotel London,"Set in a Grade II Listed building, this luxury hotel is in Central London, just 2 minutes’ walk from Oxford Circus Tube Station.",19-21 Gt. Marlborough St,,,London,Greater London,W1F 7HL,UK,,,,,W1F,Hotel,,
No.5 Maddox Street,"Within easy reach of Bond Street, Soho and Piccadilly, No.5 Maddox Street has a quiet location in stylish Mayfair.",Maddox Street,,,London,Greater London,W1S 2QD,UK,,,,,W1S,Aparthotel,Managed by No.5 Maddox St,Apartments
Sloane Square Suite Stylish Chelsea Pad,"Offering garden views, Sloane Square Suite Stylish Chelsea Pad is an accommodation situated in London, 400 metres from Piccadilly Theatre and 600 metres...",w1f 7ey,,,London,Greater London,W1F 7EY,UK,,,,,W1F,Apartment,,Entire apartment
Oxford Circus Luxury Holiday Let,"In the Westminster Borough district of London, close to Piccadilly Theatre, Oxford Circus Luxury Holiday Let has free WiFi and a washing machine.",Westminster City Dwellings,,,London,Greater London,W1F 7ER,UK,,,,,W1F,Apartment,,Entire apartment
Oxford Circus Designer Apartment,"Oxford Circus Designer Apartment has a terrace and is located in London, within just 700 metres of Piccadilly Circus and 400 metres of Oxford Street.",13 Pollen Street,,,London,Greater London,W1S 1NH,UK,,,,,W1S,Apartment,Managed by Yuliia,Entire apartment
Exquisite 2 Bed Soho Central Apartment Sleeps 6,"Situated in the centre of London, 70 metres from Carnaby Street and 300 metres from Piccadilly Theatre, Exquisite 2 Bed Soho Central Apartment Sleeps 6...",Marshall Street,,,London,Greater London,W1F 7EU,UK,,,,,W1F,Apartment,,Entire apartment
"BIG 2Bed 2Bath Mayfair,Regent Street","Set in the centre of London, 700 metres from Piccadilly Theatre and 800 metres from Piccadilly Circus, BIG 2Bed 2Bath Mayfair, Regent Street offers free...",20 Maddox Street flat 1,,,London,Greater London,W1S 1PN,UK,,,,,W1S,Apartment,Hosted by Michelle,Entire apartment
2 Bed 2 Bath Apartment Off Regent Street,"Ideally set right in the centre of London, 2 Bed 2 Bath Apartment Off Regent Street is a recently renovated apartment, offering free WiFi and parking...",11 Pollen Street,,,London,Greater London,W1S 1NH,UK,,,,,W1S,Apartment,Managed by Yuliia,Entire apartment
Central MAYFAIR New Furniture Sleeps 6,"Ideally located in the centre of London, Central MAYFAIR New Furniture Sleeps 6 offers a terrace, air conditioning, free WiFi and flat-screen TV.",22 Maddox Street,,,London,Greater London,W1S 1PW,UK,,,,,W1S,Apartment,,Entire apartment
"Pollen Street, Three-bedroom Flat","Offering free WiFi and quiet street views, Pollen Street, Three-bedroom Flat is an accommodation located in the centre of London, just 700 metres from...",11-13 Pollen Street Apartment 1.2,,,London,Greater London,W1S 1NH,UK,,,,,W1S,Apartment,,Entire apartment
OXFORD STREET STATION LOVELY LUX FLAT SLEEPS UP TO 6,"Located in the centre of London, 700 metres from Piccadilly Theatre, OXFORD STREET STATION LOVELY LUX FLAT SLEEPS UP TO 6 provides air-conditioned...",5 Hanover Street,,,London,Greater London,W1S 1YR,UK,,,,,W1S,Apartment,,Entire apartment
2-Bed 2-Bathroom Mayfair - Maddox St,"In the Westminster Borough district of London, close to Piccadilly Circus, 2-Bed 2-Bathroom Mayfair - Maddox St features free WiFi and a washing machine.",30 Maddox Street,,,London,Greater London,W1S 1PS,UK,,,,,W1S,Apartment,Managed by Yaseen,Entire apartment
"Beautiful 2 bed apt in the heart of Mayfair, close to Tube","Located in a central area of London, Beautiful 2 bed apt in the heart of Mayfair, close to Tube offers accommodation with city views, just 700 metres from...",30 Maddox Street,,,London,Greater London,W1S 1PS,UK,,,,,W1S,Apartment,Managed by ALTIDO London,Entire apartment
Excellent Entire Apartment at Regent St. and Oxford St. London,"Situated in London and with Piccadilly Theatre reachable within 300 metres, Excellent Entire Apartment at Regent St. And Oxford St.",50 Marshall Street,,,London,Greater London,W1F 9BQ,UK,,,,,W1F,Hotel,,
Interior-Designer Apartment with 2 TERRACES,"Interior-Designer Apartment with 2 TERRACES is located in the Westminster Borough district of London, less than 1 km from Piccadilly Circus, a 5-minute...",11 Hanover Street,,,London,Greater London,W1S 1YQ,UK,,,,,W1S,Apartment,Managed by Suzy,Entire apartment
Welcome London Carnaby Street,"In the Westminster Borough district of London, close to Carnaby Street, Welcome London Carnaby Street features free WiFi and a washing machine.",Sandringham court Dufours Place,,,London,Greater London,W1F 7SL,UK,,,,,W1F,Apartment,,Entire apartment
soho london suite,"Soho london suite is set in London. Free WiFi is available in this apartment, located 100 metres from Carnaby Street and 300 metres from Piccadilly...",46 Broadwick Street,,,London,Greater London,W1F 9QW,UK,,,,,W1F,Apartment,,Entire apartment
The Z Hotel Tottenham Court Road,"Located in London, 200 metres from Carnaby Street, The Z Hotel Tottenham Court Road provides concierge services and free WiFi throughout the property.",52 Poland Street,,,London,Greater London,W1F 7NH,UK,,,,,W1F,Hotel,,
Great flat located in trendy Soho,"Great flat located in trendy Soho is located in the Westminster Borough district of London, 400 metres from Piccadilly Theatre, 700 metres from Oxford...",45 Broadwick Street Flat 3,,,London,Greater London,W1F 9QW,UK,,,,,W1F,Apartment,Managed by MK,Entire apartment
Stylish apartment near Carnaby Street,"100 metres from Carnaby Street, Stylish apartment is in the Westminster Borough district of London.",Flat 10,45 Broadwick Street,Soho,London,Greater London,W1F 9QW,UK,,,,,W1F,Apartment,Hosted by Ian,Entire apartment
"Soho 1 Bed - Stunning Apartment, unbeatable location!","Attractively situated in the Westminster Borough district of London, Soho 1 Bed - Stunning Apartment, unbeatable location!",45 Broadwick Street,,,London,Greater London,W1F 9QW,UK,,,,,W1F,Apartment,,Apartments
