name,description,address1,address2,address3,city,county,postcode,country,animal,pet_name,renewal_date,date,outward_code,Type of Property,Current Manager,Status
Netley Hall,"Located in Shrewsbury, 33 km from Ironbridge Gorge, Netley Hall provides accommodation with a garden, free private parking, a shared lounge and a...",Netley Hall Dorrington,,,Shrewsbury,Shropshire,SY5 7JZ,UK,,,,,SY5,Hotel,,
"Holiday Inn Express Shrewsbury, an IHG Hotel","Just off the A5, on the outskirts of Shrewsbury, this air-conditioned hotel features large, modern bedrooms, a contemporary restaurant and conference...",Shrewsbury Business Park,Sitka Drive,,Shrewsbury,Shropshire,SY2 6LG,UK,,,,,SY2,Hotel,,
Pass the Keys 5B One bedrom Central Modern Apartment,"Pass the Keys 5B One bedrom Central Modern Apartment is set in Shrewsbury, 26 km from Ironbridge Gorge, 27 km from Telford International Centre, as well as...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 1PN,UK,,,,,SY1,Apartment,Managed by Karen,Entire apartment
Pass the Keys 5A One Bedroom Modern Town Centre Apartment,"Pass the Keys 5A One Bedroom Modern Town Centre Apartment is located in Shrewsbury, 26 km from Ironbridge Gorge, 27 km from Telford International Centre,...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 1PN,UK,,,,,SY1,Apartment,Managed by Karen,Entire apartment
Pass the Keys 5C Charming Town Centre Apartment With Roof Top Views,"Pass the Keys 5C Charming Town Centre Apartment With Roof Top Views, a property with a terrace, is situated in Shrewsbury, 26 km from Ironbridge Gorge, 27...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 1PN,UK,,,,,SY1,Apartment,Managed by Karen,Entire apartment
The Stowe,"Located 27 km from Telford International Centre, 700 metres from Shrewsbury Cathedral and 8.",Roushill,,,Shrewsbury,Shropshire,SY1 1PN,UK,,,,,SY1,Homestay,,
Chandeliers 6,"Situated in Shrewsbury, 26 km from Ironbridge Gorge and 27 km from Telford International Centre, Chandeliers 6 features accommodation with free WiFi in a...",6-7 Mardol,,,Shrewsbury,Shropshire,SY1 1PY,UK,,,,,SY1,Apartment,Hosted by Hannah,Entire apartment
Pass the Keys Unique town centre apartment with vaulted ceiling,"Located 27 km from Telford International Centre, 800 metres from Shrewsbury Cathedral and 8.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 1PP,UK,,,,,SY1,Apartment,Managed by Richard,Entire apartment
Prince Rupert Hotel,"In the heart of historical Shrewsbury, The Prince Rupert Hotel offers period features and traditional charm.",Butcher Row,,,Shrewsbury,Shropshire,SY1 1UQ,UK,,,,,SY1,Hotel,,
Free Parking - Shrewsbury Square - Central 2 Bedroom Top Floor Apartment,"Situated in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Free Parking - Shrewsbury Square - Central 2 Bedroom Top Floor Apartment...",6 Gullet Passage Flat 3,,,Shrewsbury,Shropshire,SY1 1LA,UK,,,,,SY1,Apartment,Managed by Effective Stays Ltd,Entire apartment
Comfy Modern 2 Bedroom Duplex Apartment with Sun Terrace,"Comfy Modern 2 Bedroom Duplex Apartment with Sun Terrace is situated in Shrewsbury, 27 km from Telford International Centre, 700 metres from Shrewsbury...",19 Mardol,,,Shrewsbury,Shropshire,SY1 1PU,UK,,,,,SY1,Apartment,,Entire apartment
Most Central Luxury Grade 2 Listed Apartment Overlooking Shrewsbury Square - Free Parking,"Set in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Most Central Luxury Grade 2 Listed Apartment Overlooking Shrewsbury Square -...",6 The Square,,,Shrewsbury,Shropshire,SY1 1LA,UK,,,,,SY1,Apartment,,Entire apartment
Entire Luxury Apartment Block - Sleeps 18 - Overlooking Shrewsbury Square,"Situated 27 km from Telford International Centre, 500 metres from Shrewsbury Cathedral and 9 km from Attingham Park, Entire Luxury Apartment Block - Sleeps...",6 The Square,,,Shrewsbury,Shropshire,SY1 1LA,UK,,,,,SY1,Apartment,Managed by Effective Stays Ltd,Entire apartment
Elegant Apartment on Historic Cobbled High St Shrewsbury Town Centre,"Offering city views, Elegant Apartment on Historic Cobbled High St Shrewsbury Town Centre is an accommodation located in Shrewsbury, 27 km from Telford...",14-15 High Street,,,Shrewsbury,Shropshire,SY1 1SP,UK,,,,,SY1,Holiday home,Managed by Effective Stays Ltd,Entire home
Super Central - Quiet - 2 Bedroom Cottage,"Located in Shrewsbury in the Shropshire region, Super Central - Quiet - 2 Bedroom Cottage features a terrace.",14-15 High Street,,,Shrewsbury,Shropshire,SY1 1SP,UK,,,,,SY1,Holiday home,,Entire home
Shrewsbury Square - 2 Bedroom Second Floor Apartment - Perfect Central Location for Exploring Shrewsbury,"Situated in Shrewsbury in the Shropshire region, with Shrewsbury Cathedral nearby, Shrewsbury Square - 2 Bedroom Second Floor Apartment - Perfect Central...",6 Gullet Passage Apartment 2,,,Shrewsbury,Shropshire,SY1 1LA,UK,,,,,SY1,Apartment,Managed by Effective Stays Ltd,Entire apartment
"""Wesley House"" Historic home in town Centre with Parking","Located in Shrewsbury, ""Wesley House"" Historic home in town Centre with Parking is a historic holiday home that provides free WiFi, and guests can enjoy a...",Wesley House 1 Fish Street Shrewsbury,,,Shrewsbury,Shropshire,SY1 1UR,UK,,,,,SY1,Holiday home,Hosted by Jo Henshaw founder and owner of Stayinshrewsbury.,Entire home
Pass the Keys Bouvardia Modern town centre apartment,"Located in Shrewsbury in the Shropshire region, Pass the Keys Bouvardia Modern town centre apartment features a terrace.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2BW,UK,,,,,SY1,Apartment,Managed by Karen,Entire apartment
Pass the Keys 1 bed 40D Dahlia Contemporary town centre apartment,"Located in Shrewsbury in the Shropshire region, Pass the Keys 1 bed 40D Dahlia Contemporary town centre apartment features a balcony.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2BW,UK,,,,,SY1,Apartment,Managed by Pass The Keys,Entire apartment
Pass the Keys Dahlia Contemporary town centre apartment,"Located in Shrewsbury in the Shropshire region, Pass the Keys Dahlia Contemporary town centre apartment features a balcony.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2BW,UK,,,,,SY1,Apartment,Managed by Pass The Keys,Entire apartment
Pass the Keys 1 bed 40C Beautiful Town Apartment Celosia,"Pass the Keys 1 bed 40C Beautiful Town Apartment Celosia is located in Shrewsbury, 26 km from Telford International Centre, 700 metres from Shrewsbury...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2BW,UK,,,,,SY1,Apartment,Managed by Karen,Entire apartment
Pass the Keys 40C 2 bed Celosia Beautiful Town Centre Apartment,"Set in Shrewsbury in the Shropshire region, Pass the Keys 40C 2 bed Celosia Beautiful Town Centre Apartment has a balcony.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2BW,UK,,,,,SY1,Apartment,Managed by Karen,Entire apartment
Pass the Keys Amaranth Stylish town centre apartment,"Situated 24 km from Ironbridge Gorge, 26 km from Telford International Centre and 700 metres from Shrewsbury Cathedral, Pass the Keys Amaranth Stylish town...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2BW,UK,,,,,SY1,Apartment,Managed by Pass The Keys,Entire apartment
RHUBARB at Drapers Hall,"Located just 25 km from Ironbridge Gorge, RHUBARB at Drapers Hall features accommodation in Shrewsbury with access to a terrace, a bar, as well as a...",Rhubarb at Drapers Hall 10 St Marys Place,,,Shrewsbury,Shropshire,SY1 1DZ,UK,,,,,SY1,Bed and breakfast,,
Casaamor Homes,"Casaamor Homes is set in Shrewsbury, 26 km from Telford International Centre, 800 metres from Shrewsbury Cathedral, as well as 7.7 km from Attingham Park.",SY12BG,,,Shrewsbury,Shropshire,SY1 2BG,UK,,,,,SY1,Apartment,,Entire apartment
Casa Amor Homes,"Casa Amor Homes is set in Shrewsbury, 26 km from Telford International Centre, 800 metres from Shrewsbury Cathedral, as well as 7.7 km from Attingham Park.",Apartment 2 Chapel Mews Castle Court,,,Shrewsbury,Shropshire,SY1 2BG,UK,,,,,SY1,Homestay,,
The Carriage House,"The Carriage House is located in Shrewsbury, less than 1 km from Shrewsbury Cathedral, 8.5 km from Attingham Park, as well as 28 km from Whittington...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 1QD,UK,,,,,SY1,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Shrewsbury Townhouse with Open Plan Living,"Located 24 km from Telford International Centre, Shrewsbury Townhouse with Open Plan Living provides accommodation with free WiFi and free private parking.",1 Old Heath 7 Hansas,,,Shrewsbury,Shropshire,SY1 4SG,UK,,,,,SY1,Holiday home,Managed by Team Hudson,Entire home
Shrewsbury Townhouse with Parking,"Located in Harlescott and only 24 km from Telford International Centre, Shrewsbury Townhouse with Parking provides accommodation with quiet street views,...",1 Old Heath,,,Harlescott,Shropshire,SY1 4SB,UK,,,,,SY1,Holiday home,Managed by Team Hudson,Entire home
Countryside in the Town.,"Countryside in the Town., a property with a garden and a terrace, is located in Harlescott, 50 km from Chillington Hall, 4 km from Shrewsbury Cathedral, as...",55 Whitemere Road,,,Harlescott,Shropshire,SY1 3BY,UK,,,,,SY1,Apartment,Hosted by Adrian,Entire apartment
Fair Haven,"Located 24 km from Telford International Centre, Fair Haven provides accommodation with free WiFi and free private parking.",30 Montgomery Way,,,Shrewsbury,Shropshire,SY1 4SW,UK,,,,,SY1,Holiday home,Hosted by Keith,Entire home
Cul-de-sac Creations,"Offering a garden, a terrace and free WiFi, Cul-de-sac Creations is a recently renovated apartment 25 km from Telford International Centre and 27 km from...",Shrewsbury,,,Shrewsbury,Shropshire,SY1 3JL,UK,,,,,SY1,Apartment,Managed by Daniel,Entire apartment
30 Poplar Close,"Located 25 km from Telford International Centre, 30 Poplar Close provides accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2UU,UK,,,,,SY1,Holiday home,Managed by Sykes Holiday Cottages,Entire home
Pass the Keys 4 Bedroom home close to town,"Situated in Shrewsbury in the Shropshire region, Pass the Keys 4 Bedroom home close to town features accommodation with free WiFi and free private parking.",Shrewsbury,,,Shrewsbury,Shropshire,SY1 2TE,UK,,,,,SY1,Holiday home,Managed by Richard,Entire home
Fair View,"Set in Shrewsbury and only 29 km from Telford International Centre, Fair View offers accommodation with quiet street views, free WiFi and free private...",28 Farmlodge Lane,,,Shrewsbury,Shropshire,SY1 3ST,UK,,,,,SY1,Holiday home,Hosted by Keith,Entire home
