name,description,address1,address2,address3,city,county,postcode,country,animal,pet_name,renewal_date,date,outward_code,Type of Property,Current Manager,Status
Beach Road,"Boasting garden views, Beach Road offers accommodation with a garden and a patio, around 2.3 km from The Bay Beach.",25 Beach Road,,,Margate,Kent,CT8 8AD,UK,,,,,CT8,Holiday home,Hosted by Ann Roberson,Entire home
Sandy Villa,"Sandy Villa, a property with a garden, is located in Westgate on Sea, 10 km from Granville Theatre, 17 km from Sandwich Railway Station, as well as 24 km...",1 Sandy Villas,Old Boundary Road,,Westgate on Sea,Kent,CT8 8FG,UK,,,,,CT8,Holiday home,Hosted by Keepers Cottages,Entire home
By The Bay,"Situated 10 km from Granville Theatre, 17 km from Sandwich Railway Station and 24 km from Sandown Castle, By The Bay features accommodation set in Westgate...",10 Westgate Bay Avenue,,,Westgate on Sea,Kent,CT8 8AJ,UK,,,,,CT8,Holiday home,,Entire home
Trendy 3 Bedroom Home Close To Margate Beaches Bars Resturants 2 Night Min Stay,"Situated in Kent, 2.6 km from The Bay Beach and 10 km from Granville Theatre, Trendy 3 Bedroom Home Close To Margate Beaches Bars Resturants 2 Night Min...",5 Ethelbert Terrace,,,Kent,Kent,CT8 8ST,UK,,,,,CT8,Apartment,Hosted by Colin,Entire apartment
Top Floor Penthouse on The Coast!,"Offering sea views, Top Floor Penthouse on The Coast! is an accommodation set in Kent, 2.9 km from The Bay Beach and 10 km from Granville Theatre.",37 Ethelbert Square 3,,,Kent,Kent,CT8 8SR,UK,,,,,CT8,Apartment,Managed by Darlington Hotels,Entire apartment
Enormous Luxury Retreat Perfect for Family and Business,"Featuring sea views, Enormous Luxury Retreat Perfect for Family and Business offers accommodation with a private beach area, free bikes and a shared...",37 Ethelbert Square,,,Kent,Kent,CT8 8SR,UK,,,,,CT8,Apartment,Hosted by Elijah,Entire apartment
"Number 29, Westgate-on-Sea","Set in Kent, Number 29, Westgate-on-Sea offers accommodation with a patio and free WiFi.",29 Ethelbert Square,,,Westgate on Sea,Kent,CT8 8SR,UK,,,,,CT8,Holiday home,Hosted by Darren,Entire home
Westgate Two-Bedroom Homestay Suite,"Located in Westgate on Sea, in a historic building, 2.",27 Harold Avenue,,,Westgate on Sea,Kent,CT8 8QU,UK,,,,,CT8,Homestay,Hosted by Donna,
SoHot Stays Westgate Apt Sleeps 6,"Set in Westgate on Sea, 2.7 km from The Bay Beach, 10 km from Granville Theatre and 17 km from Sandwich Railway Station, SoHot Stays Westgate Apt Sleeps 6...",Station Road,,,Westgate on Sea,Kent,CT8 8QY,UK,,,,,CT8,Apartment,Managed by Scott from SoHot Stays,Entire apartment
Hamilton Lodge: a 6 bedroom seaside Holiday Home hosting Happiness,"Offering a garden and garden view, Hamilton Lodge: a 6 bedroom seaside Holiday Home hosting Happiness is set in Kent, 10 km from Granville Theatre and 17...",96 Saint Mildreds Road,,,Kent,Kent,CT8 8RJ,UK,,,,,CT8,Holiday home,,Entire home
Questeds,"Questeds provides a steam room and free private parking, and is within 2.8 km of The Bay Beach and 10 km of Granville Theatre.",Westgate on Sea,,,Westgate on Sea,Kent,CT8 8JX,UK,,,,,CT8,Holiday home,Managed by Cottages-com,Entire home
Ivy Cottage,"Ivy Cottage, a property with a garden, is set in Birchington, 17 km from Sandwich Railway Station, 23 km from Sandown Castle, as well as 26 km from...",Birchington,,,Birchington,Kent,CT8,UK,,,,,CT8,Holiday home,Managed by Cottages-com,Entire home
Margate Seaside Retreat,"Situated in Margate in the Kent region, Margate Seaside Retreat features accommodation with free WiFi and free private parking. Located 8.",4 Alicia Avenue,,,Margate,Kent,CT9 5JY,UK,,,,,CT9,Holiday home,Hosted by Liz,Entire home
SoHot Stays - Sea Views From Every Room,"Situated in Westgate on Sea, the recently renovated SoHot Stays - Sea Views From Every Room features accommodation 10 km from Granville Theatre and 17 km...",FLAT 1 INGLETON COURT 75 SEA ROAD,,,Westgate on Sea,Kent,CT8 8QG,UK,,,,,CT8,Apartment,Managed by Scott from SoHot Stays,Entire apartment
"Ocean View apartment, beautiful sea views","Ocean View apartment, beautiful sea views is a beachfront property set in Kent, 1.3 km from The Bay Beach and 2.9 km from Walpole Bay Beach.",30A Royal Esplanade,,,Kent,Kent,CT9 5EG,UK,,,,,CT9,Apartment,Hosted by Danika,Entire apartment
The Bolthole,"Set in Margate, 1.4 km from The Bay Beach, 8.7 km from Granville Theatre and 18 km from Sandwich Railway Station, The Bolthole offers accommodation with a...",14 Barn Crescent,,,Margate,Kent,CT9 5HF,UK,,,,,CT9,Holiday home,Hosted by Martin & Carrianne,Entire home
The Fairway,"The Fairway, a property with a garden, is set in Westgate on Sea, 10 km from Granville Theatre, 17 km from Sandwich Railway Station, as well as 23 km from...",Westgate on Sea,,,Westgate on Sea,Kent,CT8 8LD,UK,,,,,CT8,Holiday home,Managed by Cottages-com,Entire home
Hussar Inn,"The Hussar is a family-run inn set a 5-minute drive from the centre of Margate and the coast, offering a bar, a restaurant, free parking and free Wi-Fi.",219 Canterbury Rd,,,Margate,Kent,CT9 5JP,UK,,,,,CT9,Bed and breakfast,,
